latency_us,ccdf
3,1.0
5,0.9838190913307887
5,0.9678999329004014
5,0.9522384322513711
5,0.9368302463676099
5,0.9216714498307309
5,0.9067579501832669
5,0.8920857384872908
5,0.8776508893244155
5,0.8634496443153343
6,0.8494782450807409
6,0.8357328497217881
6,0.8222098668982496
6,0.8089057887894394
6,0.7958168570160506
6,0.7829398143160176
6,0.7702710693491138
6,0.7578073648532737
6,0.7455452765273511
6,0.7334816306288203
6,0.7216132534151558
6,0.7099368041047516
6,0.6984493595137025
6,0.687147829419023
7,0.6760290400781876
7,0.6650903188659115
7,0.654328492039669
7,0.6437408034546355
7,0.6333244969659857
7,0.6230766493898146
7,0.6129946716203776
7,0.6030758910323901
7,0.5933175514810269
7,0.5837170638605438
7,0.574271922584736
7,0.5649797055869394
7,0.5558377402418693
7,0.5468437715219415
7,0.5379952938409518
7,0.529290052171316
7,0.5207256244463698
7,0.5122997556385294
7,0.5040102742397509
7,0.4958549252224501
7,0.4878315370785834
8,0.4799379383001068
8,0.4721720408985166
8,0.4645318404048493
8,0.45701533235014136
8,0.44962034522634886
8,0.44234504160358856
8,0.43518750053243704
8,0.4281457175439308
8,0.42121793872772684
8,0.41440224313440144
8,0.4076967933340716
8,0.40109991893593433
8,0.3946096989905661
8,0.38822454662670425
8,0.38194270793400553
8,0.37576251252166704
8,0.36968228999888586
8,0.36370045349439906
8,0.3578154996564842
8,0.35202567457479783
8,0.34632955841715773
8,0.34072556431230094
8,0.33521235594758514
8,0.3297882629322073
8,0.32445194895352525
8,0.3192020776988963
8,0.31403706229705797
8,0.30895564995490776
9,0.3039564208402634
9,0.29903812216002246
9,0.29419941760154267
9,0.2894389708521816
9,0.28475561263837723
9,0.2801479231279471
9,0.2756149000864093
9,0.2711552072011215
9,0.2667675916789817
9,0.2624510512855077
9,0.2582043332275976
9,0.25402635175122934
9,0.2499160211023811
9,0.2458720884879505
9,0.24189363519299611
9,0.2379795754634959
9,0.23412882354542786
9,0.23034037720431033
9,0.22661331772520166
9,0.22294647583453975
9,0.2193390163369232
9,0.2157898534783299
9,0.21229815206335856
9,0.20886299337706749
9,0.20548337518497495
9,0.20215846229167933
9,0.19888733598223907
9,0.19566916106125276
9,0.19250301881377863
9,0.18938815756395555
9,0.18632365859684163
9,0.18330877023657577
9,0.18034265728775634
10,0.17742456807452212
10,0.1745536674014716
10,0.17172920359274335
10,0.16895050849201632
10,0.1662166633843487
10,0.16352716715249982
10,0.16088110108152798
10,0.15827788053465197
10,0.15571683735555086
10,0.15319713634882304
10,0.15071827639722757
10,0.14827950582490323
10,0.14588023999506905
10,0.14351972723186346
10,0.14119746641804565
10,0.13891278939729457
10,0.13666502801328895
10,0.13445368114878786
10,0.13227808064747015
10,0.13013764187255483
10,0.12803194722634115
10,0.12596024503296765
10,0.12392211769473371
10,0.12191689705531816
10,0.11994416551702025
10,0.11800333844305877
10,0.11609391471619313
10,0.11421547673872234
10,0.11236735635432527
10,0.11054913596530136
10,0.10876031445440948
10,0.10700047422394898
11,0.10526911415667894
11,0.10356573313535866
11,0.10188999708182722
11,0.10024132135930386
11,0.09861928837008782
11,0.0970235640360183
11,0.09545356372031444
11,0.0939090368643557
11,0.09238956587044145
11,0.09089456610179059
11,0.0894237869997827
11,0.08797689448625712
11,0.08655330392443283
11,0.08515276475568945
11,0.08377494290186638
11,0.08241942076526287
11,0.08108578074817807
11,0.0797736887724515
11,0.07848289427946276
11,0.07721297967151097
11,0.07596361087043568
11,0.0747344537980762
11,0.07352517437627193
11,0.0723354385268623
11,0.07116499569122692
11,0.07001351179120519
11,0.06888056922909624
11,0.06776600096581997
11,0.06666947292321568
11,0.06559073454266284
12,0.064529451746001
12,0.06348529045506957
12,0.062458000111248024
12,0.06144741367545614
12,0.060453113549993054
12,0.059474932695778526
12,0.05851253703465209
12,0.05756575952753329
12,0.056634266096261654
12,0.05571788970175673
12,0.05481637978539822
12,0.053929318749485256
12,0.053056706594018066
12,0.052198209240835736
12,0.05135357613131808
12,0.05052264022638475
12,0.049705150967415235
12,0.04890085779578901
12,0.048109593672425954
12,0.04733119155824572
12,0.046565317375087734
12,0.04581180408387164
12,0.04507056816505728
12,0.04434127554048417
12,0.04362375917107186
12,0.042917935537280405
12,0.042223470560948995
