latency_us,ccdf
89,1.0
112,0.9861607399631888
115,0.9725129054986771
117,0.9590538004716439
118,0.945781627458875
119,0.9326918929023352
120,0.9197836980904176
121,0.9070552455999079
122,0.8945020418727712
122,0.8821222894857932
123,0.8699141910157598
123,0.85787505032785
124,0.8460021712872426
124,0.8342946551823306
125,0.8227480084550788
125,0.8113613323938802
126,0.8001328295755206
126,0.7890598038651788
126,0.778139559128034
127,0.767370297940872
127,0.7567502228804786
127,0.7462775365236397
128,0.7359495427355343
128,0.7257644440929483
128,0.7157195444610607
128,0.7058148438398711
129,0.6960467473829518
129,0.6864134576670884
129,0.6769140759806741
129,0.6675459061888875
130,0.6583071508685149
130,0.649196911307949
130,0.6402124913723686
130,0.6313520936385597
131,0.6226148193949155
131,0.6139979725066145
131,0.6055006542620499
131,0.5971210672380076
132,0.5888565152996663
132,0.5807069984470263
132,0.5726707192568734
132,0.5647449815943864
132,0.5569297854595652
133,0.5492215360059818
133,0.5416211319452433
133,0.5341249784309214
133,0.5267330754630162
133,0.5194436256183136
134,0.5122548314735995
134,0.5051657943172667
134,0.49817381801449445
134,0.4912798012768894
134,0.48448104796963076
135,0.4777757606695042
135,0.4711639393765098
135,0.46464288795582653
135,0.4582126064074543
135,0.451871297308179
136,0.4456171632347866
136,0.4394502041872771
136,0.4333686227424365
136,0.4273706214770505
136,0.4214562003911193
137,0.4156235620614287
137,0.4098718077763718
137,0.4041991401127344
137,0.39860555907051654
137,0.39308926722650406
138,0.387648467157483
138,0.38228405757506034
138,0.37699334234441506
138,0.37177632146554696
138,0.3666311975152422
138,0.36155707178189345
139,0.3565530455538939
139,0.3516182201196365
139,0.3467525954791212
139,0.34195347549752675
139,0.3372208601748533
139,0.33255385079949384
140,0.3279515486598412
140,0.3234130550442885
140,0.3189374712412286
140,0.31452299982744736
140,0.310170539514552
140,0.3058782928793282
141,0.301644462498562
141,0.29746994708386054
141,0.2933529492120097
141,0.28929346888300933
141,0.28528970867364545
141,0.28134166858391807
142,0.27744755119061315
142,0.2736082552053376
142,0.2698219832048775
142,0.26608693776601866
142,0.26240491631197516
142,0.2587732227079259
143,0.2551918569538709
143,0.25165992033820317
143,0.24817741286092254
143,0.2447425370988151
143,0.24135619176348788
143,0.23801568072011958
144,0.23472190268031745
144,0.23147306022086733
144,0.22827005205337625
144,0.22511018204302313
144,0.22199524761302192
144,0.21892255262855176
144,0.21589299580121935
145,0.21290477970781085
145,0.2099588030599333
145,0.20705326843437244
145,0.20418727711952145
145,0.20136172782698725
145,0.1985748231335558
145,0.19582656303922696
146,0.19311694754400088
146,0.1904441792246635
146,0.18780825808121482
146,0.1852091841136546
146,0.1826460586103762
146,0.1801179828597722
146,0.1776258555734499
147,0.17516698061658809
147,0.17274315541240082
147,0.17035258253767394
147,0.16799526199240766
147,0.16567029506499487
147,0.1633767830438284
147,0.16111652335212234
148,0.1588859211434488
148,0.1566876725526285
