latency_us,ccdf
60,1.0
79,0.9861602505806213
82,0.9725108246483279
83,0.9590508244508225
85,0.9457775567312121
86,0.9326874304803064
88,0.9197786501935105
89,0.9070476248616339
90,0.8944943544846767
91,0.8821134525488534
92,0.8699049190541641
94,0.8578651629914184
95,0.8459914911037236
96,0.8342830056387822
98,0.8227361155874038
99,0.8113490254449933
101,0.8001190419546581
102,0.7890452673641005
104,0.7781241106641302
105,0.7673546741024497
106,0.7567342644221662
108,0.7462601883663871
109,0.7359315481828147
110,0.7257465483668539
111,0.7157015979093144
112,0.7057957990578987
113,0.6960273563080117
113,0.6863935764027604
114,0.6768935615898475
115,0.6675255163646778
115,0.6582867474703584
116,0.6491754594022945
117,0.6401907544081882
117,0.631329939231147
118,0.6225921161188732
118,0.6139745918144741
119,0.6054773663179498
119,0.5970968486201098
119,0.5888330387209544
120,0.5806832433635906
120,0.572646564795721
121,0.5647203097604527
121,0.556904478257786
121,0.5491963770308279
122,0.541595108327281
122,0.5340997743948477
122,0.5267076819766351
123,0.5194170355680483
123,0.5122287329213847
123,0.5051391830274541
124,0.49814748813395904
124,0.49125275048860173
124,0.48445407233908466
124,0.4777487604285151
125,0.47113591700459556
125,0.464615542067326
125,0.4581849423598138
125,0.4518432201297611
126,0.44558947762487067
126,0.4394228170928447
126,0.43334054527679045
126,0.42734355992900575
127,0.42142827004030015
127,0.41559557336297115
127,0.40984367439242364
127,0.4041707776240626
128,0.39857688305788797
128,0.3930610929416021
128,0.38762071401831233
128,0.3822557462880187
128,0.37696529199842355
129,0.3717475556449318
129,0.36660253722754343
129,0.3615284412416633
129,0.3565252676872913
129,0.3515903233075349
130,0.3467245058546916
130,0.34192512207186865
130,0.33719306971136365
130,0.3325256555162839
130,0.32792377723892685
130,0.32338474162240005
131,0.31890944641900076
131,0.3144951983718365
131,0.3101428952332046
131,0.3058498437462126
131,0.301616941663158
131,0.29744239347944557
132,0.2933253014427777
132,0.2892656655531546
132,0.28526258805827853
132,0.2813142734535543
132,0.27742072173898213
132,0.2735810351622643
133,0.26979431597110315
133,0.26606056416549884
133,0.2623779842408561
133,0.2587465761971751
133,0.2551654422821582
133,0.25163368474350767
134,0.24815130358122373
134,0.24471650329071104
134,0.24132928387196972
134,0.23798964532499978
134,0.23469579214520608
134,0.23144682658029092
134,0.228243646382552
135,0.22508445604739413
135,0.22196925557481728
135,0.21889714721252396
135,0.21586813096051416
135,0.21288041131419266
135,0.20993398827355947
135,0.20702796408631707
136,0.20416233875246548
136,0.20133711227200457
136,0.19855048914033935
136,0.1958024693574697
136,0.19309215517109812
136,0.19041954658122462
136,0.18778464358784908
136,0.1851856506863765
137,0.18262256787680686
137,0.18009449740684247
137,0.17760233702878103
137,0.17514429123802733
137,0.17271946228228385
137,0.17032964566614572
137,0.1679721481327201
138,0.1656469696820072
138,0.16335411031400682
138,0.16109357002871905
138,0.1588635533215489
138,0.15666495794479363
138,0.15449688614615587
138,0.152358440173338
138,0.15024962002634001
139,0.14817042570516203
139,0.14611995945750622
139,0.1440973235310753
139,0.14210251792586903
139,0.14013644039418505
139,0.13819639767913072
139,0.13628418528530117
139,0.13439710995580367
139,0.13253786494753084
140,0.13070285925129255
140,0.1288938883716838
140,0.12711005455640711
140,0.12535046005316486
140,0.12361600261425465
140,0.12190488673508137
140,0.12021801016794254
140,0.11855357740824302
140,0.11691338396057793
141,0.11529473656805456
141,0.11369943073526811
141,0.11212567095762338
141,0.11057345723512046
141,0.10904368732005676
141,0.10753366795553976
141,0.10604609239846197
141,0.10457826739193077
142,0.10313019293594627
142,0.10170366453510349
142,0.10029598893250968
142,0.09890716612816486
142,0.09753899162666435
142,0.09618877217111521
142,0.09485740551381505
142,0.09354399390246637
142,0.09224943508936678
142,0.09097283132221856
143,0.08971418260102182
143,0.08847259117347894
143,0.08724805703958993
143,0.08603968244705729
143,0.08484926290047612
143,0.0836750028952512
143,0.08251690243138254
143,0.08137496150887025
143,0.0802482823754167
143,0.07913776278331941
144,0.07804250498028087
144,0.07696250896630108
144,0.07589687698908243
144,0.07484650680092253
144,0.07381050064952377
144,0.07278885853488626
144,0.07178158045700977
144,0.07078866641589454
144,0.06980832090694533
145,0.06884233943475715
145,0.06788982424703272
145,0.0669498775914742
145,0.06602339722037931
145,0.06510948538145045
145,0.06420814207468761
145,0.0633193673000908
145,0.0624431610576599
145,0.06157952334739514
145,0.06072665866470117
145,0.05988636251417323
146,0.05905773714351381
146,0.05823988480042519
146,0.05743370323720498
146,0.05663919245385329
146,0.055855454698072404
146,0.055082489969862425
146,0.05431940051692574
146,0.05356798184385758
146,0.05282643844606261
146,0.05209566807583854
147,0.05137477298088777
147,0.0506637531612103
147,0.049962608616806126
147,0.049270441595377634
147,0.04858904760152005
147,0.047916631130638265
147,0.04725319218273205
147,0.04659873075780174
147,0.04595414460814462
147,0.04531853598146318
147,0.044691007125460036
148,0.04407245579243246
148,0.043461984230083184
148,0.04286049019070948
148,0.042267973674311676
148,0.041682639176294334
148,0.04110538444895517
148,0.0405371072445917
148,0.0399760120586089
148,0.03942209889100656
148,0.03887716324638002
148,0.038338511867836544
149,0.03780794025997114
149,0.037284550670486305
149,0.03676924085167965
149,0.036260215298955956
149,0.03575837176461294
149,0.03526281249635288
149,0.034775332998771
149,0.03429413776727208
149,0.03381922680185623
149,0.03335149785482083
149,0.032889155421571004
150,0.032433995006701744
150,0.03198511885791544
150,0.031542526975212204
150,0.031106219358591924
150,0.0306752982557571
150,0.030251559171302844
150,0.02983230884833643
150,0.029419342791453085
150,0.029012661000652695
150,0.028610467971340148
150,0.028214559208110668
151,0.02782403695866653
151,0.02743890122300796
151,0.027059152001134734
151,0.026684789293046962
151,0.026315813098744645
151,0.02595132566593017
151,0.02559222474690115
151,0.02523761258935997
151,0.024888386945604246
151,0.024544547815633977
151,0.024204299694854048
151,0.023869438087859463
152,0.02353906524235272
152,0.02321318115833393
152,0.02289178583580287
152,0.022574879274759763
152,0.022262461475204498
152,0.021954532437137186
152,0.021651092160557606
152,0.021351242893168365
152,0.021055882387266966
152,0.020764112890555908
152,0.02047683215533269
153,0.020193142429299815
153,0.01991394146475467
153,0.019638331509399864
153,0.0193663125632354
153,0.019098782378558776
153,0.01883394545077488
153,0.018573597284478827
153,0.018316840127373113
153,0.018062776227160016
153,0.01781320108843487
153,0.017566319206602454
