latency_us,ccdf
3,1.0
5,0.9829898106216512
5,0.9662689332649892
5,0.9498324838144541
5,0.9336756140671003
6,0.9177936194704405
6,0.902181723646758
6,0.8868354375192514
6,0.8717501642732765
6,0.8569215225698751
7,0.8423450951574748
7,0.8280166084349609
7,0.8139318606264474
7,0.8000867217812772
7,0.786477061948793
7,0.7730989307414098
7,0.7599483418589281
8,0.7470214526516061
8,0.7343144563823163
8,0.7218236181391599
8,0.7095452389228529
8,0.6974757274719541
8,0.6856114925250227
8,0.6739490864710753
9,0.6624850616991285
9,0.6512160783360421
9,0.6401387246834473
9,0.6292498404312761
9,0.6185461575316169
10,0.6080245515870162
10,0.5976819341126347
10,0.5875152166236332
10,0.5775214542856301
11,0.5676977022642437
12,0.5580410516377068
12,0.5485486293968667
13,0.5392177061830281
14,0.5300454808122672
14,0.5210292957511176
15,0.5121664934661128
15,0.5034544164237866
16,0.4948905507411304
16,0.4864723466225209
16,0.4781973620101784
17,0.47006311893370856
17,0.46206724716056014
18,0.4542073764581823
18,0.44648120841925276
18,0.43888648054906365
19,0.4314209303529072
19,0.4240823671613043
19,0.41686863621739045
20,0.409777582764301
20,0.40280719569562895
20,0.3959553561671242
21,0.38922005307237983
21,0.3825993471302176
21,0.37609126314684505
22,0.3696938618410839
22,0.3634052757569849
22,0.3572236733512133
22,0.351147223080434
23,0.34517412931392644
23,0.33930266824619926
23,0.33353104424653157
24,0.3278576053346609
24,0.3222806636177097
24,0.31679860302802954
24,0.3114098074979721
25,0.30611266095988887
25,0.3009056191713603
25,0.2957871378899666
25,0.29075574469851706
26,0.28580993126720644
26,0.2809482251788439
26,0.2761692258414675
26,0.2714715326631154
26,0.26685374505182535
27,0.2623144983282498
27,0.25785249963827017
27,0.2534663483899243
27,0.2491548235543224
27,0.24491666818996005
28,0.24075058944271843
28,0.23665536628370776
28,0.23262981359665225
28,0.22867271035266223
28,0.22478294326069082
29,0.22095932720446265
29,0.21720078480554528
29,0.21350613094766313
29,0.20987436007761295
29,0.20630435890434784
30,0.20279505004943554
30,0.19934546387228702
30,0.19595455890708435
30,0.19262132960062406
30,0.1893448063123171
30,0.18612401940157441
30,0.18295799922780698
31,0.1798458479756544
31,0.17678663191714217
31,0.1737794532369099
31,0.17082341411959745
31,0.16791768857507328
31,0.16506137878797733
32,0.16225362285556355
32,0.1594936666129294
32,0.15678064815732917
32,0.15411377741124566
32,0.1514922642971619
32,0.14891535465017536
32,0.14638225839276897
32,0.14389225727265453
33,0.14144463303754384
33,0.13903863152253437
33,0.1366735344753377
33,0.13434869546889472
33,0.132063396250917
33,0.12981699039434524
33,0.12760875964689133
33,0.12543809349411028
34,0.12330438142155697
34,0.12120694108955787
34,0.1191451978962822
34,0.11711850541467062
34,0.11512628904289257
34,0.1131679741791175
34,0.11124295030890052
34,0.10935067874302551
34,0.10749062079227611
35,0.10566216594220745
35,0.10386484732883228
35,0.10209809035032003
35,0.10036135631745446
35,0.09865421427886267
35,0.09697605372009976
36,0.09532647960240714
36,0.09370495323656869
36,0.09211100775859715
36,0.09054417630450506
37,0.08900402792291962
38,0.08749002392462457
39,0.08600180518347589
41,0.08453890483548632
43,0.08310089192928272
45,0.08168729960087795
53,0.0802978046367423
82,0.07893190426027397
86,0.07758927525794324
89,0.07626945076576286
92,0.07497210757020312
96,0.07369681471989109
100,0.07244321308868273
104,0.07121094355043378
107,0.06999961106638597
110,0.0688089283356238
112,0.06763846440677446
114,0.06648789606630823
115,0.06535693601330983
116,0.06424518920902067
118,0.06315236835252569
118,0.06207815023029506
119,0.06102217571618462
120,0.05998419342189365
121,0.05896384422127787
121,0.05796084081342212
122,0.05697493181002555
123,0.05600575808494401
123,0.055053104162491096
124,0.05411664682913697
124,0.05319609878396658
125,0.052291208638678865
125,0.051401725004972976
125,0.05052739649454818
126,0.049667899893874656
126,0.04882305563988032
126,0.047992540519035676
127,0.047176174968268536
127,0.04637370759927795
127,0.04558488702376329
128,0.04480946185342349
128,0.04404725252518649
128,0.043298007650751535
129,0.042561475841817686
129,0.04183751344792741
129,0.041125833168165205
130,0.04042629135207365
130,0.039738636611351796
130,0.039062653470313125
130,0.038398198278500106
131,0.037745055560226226
131,0.03710297392719053
131,0.03647184564154993
131,0.0358514552276179
132,0.035241623122322374
132,0.03464216976259138
132,0.0340528796727384
132,0.033473645114920236
133,0.03290425061345026
133,0.03234455251787105
133,0.031794335352496095
133,0.03125352729209663
134,0.030721876948371585
134,0.030199312496092312
134,0.029685618459572183
134,0.02918065118835378
134,0.02868426703197935
135,0.02819635825260569
135,0.027716745287160727
135,0.027245248572572378
135,0.026781832196226207
135,0.026326244769821483
136,0.025878450380743767
136,0.025438233553306433
136,0.025005522462280938
136,0.02458017345720931
137,0.024162078800248565
137,0.02375105892832663
137,0.023347042016214625
137,0.02294992032606935
137,0.022559550207433055
138,0.022175788009848207
138,0.021798561908086045
138,0.021427764164303253
138,0.02106328704065652
138,0.020704986886688426
139,0.020352791877169985
139,0.020006594274257994
139,0.01966628634010914
139,0.019331760336880444
139,0.01900290852672848
