Arrival_Rate (req/us), AVG (us), STDDev, 50th (us), 90th (us), 95th (us), 99th (us), Req/time_unit
0.0004, 976.0685948297927, 1762.224588519842, 500, 500, 5500, 5500, 0.00039061054641633086
0.0008, 1000.0632991517913, 1802.6035980247004, 500, 5499.999999999069, 5500, 5500, 0.0007898409769082249
0.0012000000000000001, 1001.3269198872118, 1804.70501534278, 500, 5500, 5500, 5500, 0.0012057821410643493
0.0016, 1006.8604724014787, 1813.8787098195046, 500, 5500, 5500, 5500, 0.0015960689312839874
0.002, 994.629592451315, 1793.5392176128846, 500, 500, 5500, 5500, 0.0019923018484285294
0.0024000000000000002, 1003.2913923839681, 1807.9671078068384, 500, 5500, 5500, 5500, 0.002400159991044957
0.0028000000000000004, 1000.1798561151079, 1802.7975362847967, 500, 5499.999999999999, 5500, 5500, 0.002779972215827171
0.0032, 1004.6273136568284, 1810.1821053770566, 500, 5500, 5500, 5500, 0.0031983475636559243
0.0036000000000000003, 981.1599042689375, 1770.8693530888597, 500, 500, 5500, 5500, 0.003593341988383535
0.004, 987.8685427335554, 1782.196225969127, 500, 500, 5500, 5500, 0.0040225498964886934
0.0044, 1012.4538329880191, 1823.1046443073767, 500, 5500, 5500, 5500, 0.004440042831001893
0.0048000000000000004, 1007.6632330951985, 1815.205700557955, 500, 5500, 5500, 5500, 0.004815117283776434
0.005200000000000001, 1005.1645911767545, 1811.0721637939637, 500, 5500, 5500, 5500, 0.005179488698071847
0.005600000000000001, 1009.827459552434, 1818.7784169202832, 500, 5500, 5500, 5500, 0.005581286582360604
0.006, 994.9665820853442, 1794.1027077427814, 500, 500, 5500, 5500, 0.006029694718685934
0.0064, 992.5718937365957, 1790.0946317236521, 500, 500, 5500, 5500, 0.006387857519295911
0.0068000000000000005, 999.2822521392645, 1801.3013004918416, 500, 500.00000000000045, 5500, 5500, 0.006811773811594989
0.007200000000000001, 999.106610236245, 1800.9881878888307, 500, 500.00000000046566, 5500, 5500, 0.007196012361414125
0.007600000000000001, 1004.7376081574115, 1810.3355269297022, 500, 5500, 5500, 5500, 0.007585487041226647
0.008, 999.568335308377, 1801.7745036847361, 500, 511.6671018237248, 5500, 5500, 0.008004975850232032
0.0084, 1000.0335361989231, 1802.504387916281, 500, 872.1788531346247, 5500, 5500, 0.008420070536048511
0.0088, 996.3528017305453, 1796.3785627981813, 500, 500, 5500, 5500, 0.008757328982397918
0.0092, 989.0409677313008, 1784.0996278592756, 500, 500, 5500, 5500, 0.009157885754873751
0.0096, 996.0470791519109, 1795.7606003395995, 500, 553.4320192672312, 5500, 5500, 0.009612472307132405
0.01, 999.5864509852817, 1801.4813886928187, 500, 753.201531565981, 5500, 5500, 0.009953077478587372
0.0104, 999.8672001431412, 1801.568278772767, 500, 1135.1421546621714, 5500, 5500, 0.010387237582934795
0.0108, 989.7902920826887, 1784.5574099698022, 500, 623.2504841107875, 5500, 5500, 0.01081587450816655
0.0112, 997.2942627087834, 1796.29280380922, 500, 951.3656400004402, 5500, 5500, 0.011202361142736528
0.0116, 1000.0491280525796, 1800.199225232348, 500, 1111.553650451824, 5500, 5500, 0.011586471582479604
0.012, 1005.9362594077339, 1808.3020827898422, 500, 5500, 5500, 5500, 0.012040352136914399
0.0124, 1004.723672477873, 1804.835623928402, 500, 2407.7703230045736, 5500, 5500, 0.012390478925564975
0.0128, 1003.6622001112794, 1801.3694662206333, 500, 1277.3626088220626, 5500, 5500, 0.012768761906456854
0.0132, 1009.7957331361247, 1807.0540978611982, 500, 1771.9299829131924, 5500, 5500, 0.013203512370667197
0.0136, 1016.508259321765, 1813.624629357318, 500, 2870.9184890575707, 5500, 5500, 0.013636484670437434
0.014, 1012.5397159160817, 1807.713438114323, 500, 1713.2224039258435, 5500, 5500, 0.013957095065966006
0.0144, 1029.0104901882314, 1823.950223666498, 500, 5500, 5500, 5536.012024964206, 0.014413267210575752
0.0148, 1033.9787538107141, 1826.6565588653339, 500, 5499.999999999993, 5500, 5582.515581726097, 0.014753059625734456
0.0152, 1040.8520250008623, 1826.321931478099, 500, 2133.397671133862, 5500, 5627.225799959153, 0.01524429097461286
0.0156, 1098.7087157545184, 1888.7809249648894, 500, 5500, 5500, 5789.238604474813, 0.01564117440702807
0.016, 1098.1093902914938, 1877.6517907622153, 500, 2746.0785301094875, 5500, 5839.370435668156, 0.0159800639125474
0.0164, 1127.5677076310792, 1905.233362122075, 500, 5500, 5500, 5927.438260084018, 0.01636075268785427
0.016800000000000002, 1163.9828409552047, 1935.1691080878813, 500, 3753.9049078151584, 5500, 6049.116348141804, 0.016843708776010633
0.017200000000000003, 1165.5495482737902, 1924.8441896226022, 500, 2944.8394792806357, 5500, 6080.242285427172, 0.01720469073227242
0.0176, 1285.7613017011088, 2048.869052605176, 537.9555990025401, 4934.94062328618, 5500, 6466.056896792426, 0.017583391508285237
0.018000000000000002, 1330.4924271666623, 2081.0124878221877, 592.7476643361151, 4143.31328583695, 5530.537587404251, 6608.945578272454, 0.01793222658410024
0.018400000000000003, 1569.089962613532, 2328.0362171103784, 757.1050071418285, 5500, 5658.9888153374195, 7228.038055527024, 0.018405284347369082
0.0188, 1906.5579804185068, 2758.8953957158396, 1063.8697291659191, 5500, 6349.242128226906, 8382.982328619808, 0.01876716797533891
0.019200000000000002, 2508.318379077228, 3382.887767993949, 1667.9172520930879, 5962.371741774434, 7060.211587857455, 9512.44849851774, 0.019236111034855806
0.019600000000000003, 4272.131624042386, 5512.398866724395, 3306.6144036932383, 9488.449881535023, 11056.882132207975, 14496.053614002652, 0.019636683885359076
0.02, 13476.370920376505, 15593.756372156942, 13037.846508912276, 24224.799273791723, 27934.333094051108, 32679.240256698802, 0.019967366267666375
0.0204, 85800.41036854414, 101023.77610853437, 77069.86588373873, 167190.42098199762, 185296.917000141, 191238.86277034134, 0.02001968240758828
0.020800000000000003, 256703.53522862072, 298339.3546632895, 261723.8356607575, 473602.24278303236, 505417.58085682243, 516597.7275491059, 0.019695369434341362
