Arrival_Rate (req/us), AVG (us), STDDev, 50th (us), 90th (us), 95th (us), 99th (us), Req/time_unit
0.0004, 983.8872164871314, 1373.2793544169865, 704.0414824569598, 2220.879533212632, 2876.4459563056007, 4403.361999447923, 0.00039872454667357055
0.0008, 978.2125958570834, 1372.877307228651, 685.0529303401709, 2224.3886240683496, 2879.1267186650075, 4441.433619890362, 0.0007894951691525262
0.0012000000000000001, 1015.024224828575, 1421.0923633913776, 721.062718094443, 2315.3113003000617, 3049.775974780321, 4622.534202308394, 0.0012095694989761605
0.0016, 1000.8353126165537, 1407.6878312642748, 698.8088797591627, 2317.5745993743185, 2977.340996268671, 4710.0676911994815, 0.001605185371188667
0.002, 1012.8100446766309, 1431.242770454585, 701.5104552814737, 2350.5134863220155, 3040.098756266758, 4743.308886656538, 0.0020051816766219494
0.0024000000000000002, 999.6316691731978, 1405.6579888286453, 697.2343920040876, 2323.9784316252917, 3008.4649286251515, 4462.774535311852, 0.00239036316616468
0.0028000000000000004, 999.3191886243569, 1418.540901523228, 692.1090134251863, 2301.5905869081616, 2995.8080532369204, 4682.390432259068, 0.002804797740882389
0.0032, 997.6508021525127, 1412.3920935228634, 691.0870453044772, 2320.773025697097, 3021.7132825898007, 4549.413469465449, 0.003206669229121904
0.0036000000000000003, 996.3165382310809, 1412.67546306897, 689.9397238870151, 2276.505683575757, 2977.933010547189, 4620.5486709671095, 0.003589637234046704
0.004, 1003.3205912242388, 1420.594900465289, 692.3226583334617, 2321.530167611316, 2980.7417649722192, 4599.858546147123, 0.0039999464142908975
0.0044, 1005.7026161691344, 1426.114363258264, 693.6540810922161, 2310.9874534332193, 3005.5800277283415, 4645.634308315115, 0.004414992116928831
0.0048000000000000004, 1001.217908653001, 1409.7593314290173, 697.4416230106726, 2292.317433209624, 2977.397281084782, 4594.668016902782, 0.004782678451003226
0.005200000000000001, 1004.6205899103763, 1417.3233389539646, 701.2996004400775, 2309.2377919037826, 2997.724671492353, 4587.219128733501, 0.00519323532102182
0.005600000000000001, 996.242407100178, 1410.30533580318, 688.4252774547786, 2293.632065616548, 2993.4957492565736, 4616.858105909079, 0.005609694405644265
0.006, 993.9846998204085, 1405.7097704582702, 689.6287123449147, 2300.169309552759, 2977.191033117473, 4572.87700647302, 0.005977384094181633
0.0064, 1002.2927619307321, 1416.046085909733, 698.6846847664565, 2296.941644134, 2993.471936551854, 4628.92113356851, 0.006414056636564522
0.0068000000000000005, 999.0934239510063, 1410.6468134931145, 695.9148191548884, 2293.6060094852, 2987.403658505529, 4636.106911879266, 0.006816557184175877
0.007200000000000001, 1003.7040685438081, 1417.862178623257, 694.5368751306087, 2308.540156219504, 2998.4577239819337, 4591.334441804327, 0.0071854173167208366
0.007600000000000001, 1005.4530339506896, 1420.6175371387726, 699.4799315612763, 2308.0130818321486, 3003.3497749771923, 4610.892112915404, 0.007570167748409416
0.008, 1008.777725433371, 1427.8574562364838, 695.6739120930433, 2332.0649118617876, 3031.6709180772305, 4641.529346814379, 0.00798919081866871
